緯度の整数部分（度）,緯度の小数部分（分）,経度の整数部分（度）,緯度の小数部分(分),震央地名
18,11,122,30,フィリピン付近
18,54,145,26,マリアナ諸島
19,5,122,15,フィリピン付近
19,30,120,58,フィリピン付近
19,35,121,17,フィリピン付近
19,37,121,8,フィリピン付近
19,38,121,10,フィリピン付近
19,41,121,9,フィリピン付近
19,42,121,10,フィリピン付近
19,43,121,14,フィリピン付近
19,48,122,18,フィリピン付近
19,50,121,29,フィリピン付近
19,58,122,26,フィリピン付近
20,3,121,26,フィリピン付近
20,7,121,47,フィリピン付近
20,8,121,41,フィリピン付近
20,10,121,17,フィリピン付近
20,12,121,31,フィリピン付近
20,13,121,24,フィリピン付近
20,16,121,32,フィリピン付近
20,16,122,31,フィリピン付近
20,18,120,27,フィリピン付近
20,18,121,39,フィリピン付近
20,20,121,39,フィリピン付近
20,20,146,6,マリアナ諸島
20,23,121,41,フィリピン付近
20,24,145,28,マリアナ諸島
20,24,146,18,マリアナ諸島
20,25,122,11,フィリピン付近
20,26,122,8,フィリピン付近
20,27,120,43,フィリピン付近
20,27,122,4,フィリピン付近
20,28,122,1,フィリピン付近
20,28,122,8,フィリピン付近
20,28,122,21,フィリピン付近
20,28,146,2,マリアナ諸島
20,30,121,51,フィリピン付近
20,31,121,1,フィリピン付近
20,31,121,46,フィリピン付近
20,35,122,0,フィリピン付近
20,38,120,36,フィリピン付近
20,41,121,48,フィリピン付近
20,43,120,28,フィリピン付近
20,45,120,8,フィリピン付近
20,45,121,14,フィリピン付近
20,45,121,58,フィリピン付近
20,47,122,31,フィリピン付近
20,49,121,34,フィリピン付近
20,50,120,24,フィリピン付近
20,53,120,23,フィリピン付近
20,53,120,56,フィリピン付近
20,57,120,21,フィリピン付近
21,1,122,6,台湾付近
21,5,120,17,台湾付近
21,6,120,55,台湾付近
21,6,121,50,台湾付近
21,6,122,8,台湾付近
21,7,120,3,台湾付近
21,7,121,55,台湾付近
21,7,122,6,台湾付近
21,7,123,2,石垣島南方沖
21,8,122,10,台湾付近
21,9,119,56,遠地
21,9,122,4,台湾付近
21,11,121,56,台湾付近
21,12,120,38,台湾付近
21,12,121,37,台湾付近
21,12,121,41,台湾付近
21,14,121,55,台湾付近
21,14,122,54,石垣島南方沖
21,15,120,10,台湾付近
21,17,121,52,台湾付近
21,19,120,56,台湾付近
21,19,123,7,石垣島南方沖
21,20,122,2,台湾付近
21,20,122,38,石垣島南方沖
21,21,120,42,台湾付近
21,22,121,37,台湾付近
21,24,121,7,台湾付近
21,25,120,58,台湾付近
21,25,123,15,石垣島南方沖
21,27,121,7,台湾付近
21,28,121,55,台湾付近
21,29,121,57,台湾付近
21,30,120,59,台湾付近
21,30,121,2,台湾付近
21,32,120,52,台湾付近
21,32,121,26,台湾付近
21,32,123,6,石垣島南方沖
21,33,121,15,台湾付近
21,34,120,3,台湾付近
21,34,120,47,台湾付近
21,34,120,50,台湾付近
21,34,120,57,台湾付近
21,35,121,17,台湾付近
21,36,120,55,台湾付近
21,36,121,18,台湾付近
21,36,121,19,台湾付近
21,36,121,40,台湾付近
21,36,121,47,台湾付近
21,36,121,48,台湾付近
21,36,121,51,台湾付近
21,36,123,7,石垣島南方沖
21,37,120,52,台湾付近
21,37,143,26,マリアナ諸島
21,38,121,16,台湾付近
21,38,121,20,台湾付近
21,38,121,50,台湾付近
21,38,121,57,台湾付近
21,38,143,16,マリアナ諸島
21,39,120,56,台湾付近
21,39,123,1,石垣島南方沖
21,40,120,49,台湾付近
21,40,120,55,台湾付近
21,40,120,57,台湾付近
21,40,121,5,台湾付近
21,40,121,8,台湾付近
21,40,121,11,台湾付近
21,40,121,51,台湾付近
21,40,123,8,石垣島南方沖
21,40,142,57,マリアナ諸島
21,41,121,0,台湾付近
21,41,121,26,台湾付近
21,41,121,28,台湾付近
21,41,121,53,台湾付近
21,41,121,54,台湾付近
21,41,121,55,台湾付近
21,42,121,23,台湾付近
21,42,121,48,台湾付近
21,42,121,52,台湾付近
21,42,121,54,台湾付近
21,43,120,58,台湾付近
21,43,121,14,台湾付近
21,43,121,38,台湾付近
21,43,121,47,台湾付近
21,43,121,51,台湾付近
21,44,120,52,台湾付近
21,44,121,10,台湾付近
21,44,121,48,台湾付近
21,45,120,1,台湾付近
21,45,120,49,台湾付近
21,45,121,6,台湾付近
21,45,121,10,台湾付近
21,45,121,17,台湾付近
21,45,121,50,台湾付近
21,45,123,42,石垣島南方沖
21,46,120,2,台湾付近
21,46,121,2,台湾付近
21,46,121,11,台湾付近
21,46,121,46,台湾付近
21,46,121,54,台湾付近
21,46,142,57,マリアナ諸島
21,47,121,4,台湾付近
21,47,121,14,台湾付近
21,47,121,36,台湾付近
21,47,121,38,台湾付近
21,47,121,45,台湾付近
21,47,121,49,台湾付近
21,47,121,50,台湾付近
21,47,121,55,台湾付近
21,47,121,57,台湾付近
21,47,142,51,マリアナ諸島
21,48,121,55,台湾付近
21,48,122,0,台湾付近
21,48,143,4,マリアナ諸島
21,49,120,51,台湾付近
21,49,121,3,台湾付近
21,49,121,23,台湾付近
21,49,121,35,台湾付近
21,49,121,48,台湾付近
21,49,123,18,石垣島南方沖
21,50,121,34,台湾付近
21,50,121,52,台湾付近
21,50,123,3,石垣島南方沖
21,50,143,27,マリアナ諸島
21,51,120,56,台湾付近
21,51,121,4,台湾付近
21,51,121,16,台湾付近
21,52,121,0,台湾付近
21,52,121,2,台湾付近
21,52,121,32,台湾付近
21,52,123,5,石垣島南方沖
21,52,143,44,マリアナ諸島
21,53,120,42,台湾付近
21,53,120,56,台湾付近
21,53,121,15,台湾付近
21,53,121,20,台湾付近
21,53,121,26,台湾付近
21,53,121,42,台湾付近
21,53,121,54,台湾付近
21,53,143,36,マリアナ諸島
21,54,121,10,台湾付近
21,54,121,44,台湾付近
21,54,121,46,台湾付近
21,55,121,6,台湾付近
21,55,121,8,台湾付近
21,55,121,42,台湾付近
21,55,121,44,台湾付近
21,55,121,47,台湾付近
21,55,121,55,台湾付近
21,55,143,33,マリアナ諸島
21,56,120,33,台湾付近
21,56,121,23,台湾付近
21,56,122,5,台湾付近
21,57,121,11,台湾付近
21,57,121,24,台湾付近
21,58,121,16,台湾付近
21,58,121,17,台湾付近
21,58,121,38,台湾付近
21,58,121,43,台湾付近
21,59,120,8,台湾付近
21,59,120,11,台湾付近
21,59,120,15,台湾付近
21,59,121,21,台湾付近
21,59,121,38,台湾付近
21,59,121,46,台湾付近
21,59,121,49,台湾付近
21,59,142,57,マリアナ諸島
22,0,120,11,台湾付近
22,0,120,55,台湾付近
22,0,121,35,台湾付近
22,0,121,46,台湾付近
22,0,121,47,台湾付近
22,0,123,6,石垣島南方沖
22,0,123,22,石垣島南方沖
22,1,120,7,台湾付近
22,1,120,10,台湾付近
22,1,120,13,台湾付近
22,1,120,25,台湾付近
22,1,121,28,台湾付近
22,1,121,45,台湾付近
22,1,121,46,台湾付近
22,1,121,47,台湾付近
22,1,121,48,台湾付近
22,2,120,14,台湾付近
22,2,121,4,台湾付近
22,2,121,17,台湾付近
22,2,121,20,台湾付近
22,2,121,40,台湾付近
22,2,121,42,台湾付近
22,2,121,44,台湾付近
22,3,120,12,台湾付近
22,3,120,13,台湾付近
22,3,120,19,台湾付近
22,3,120,38,台湾付近
22,3,120,57,台湾付近
22,3,120,59,台湾付近
22,3,121,40,台湾付近
22,3,121,42,台湾付近
22,4,120,17,台湾付近
22,4,121,31,台湾付近
22,4,121,36,台湾付近
22,4,121,49,台湾付近
22,5,120,40,台湾付近
22,5,121,18,台湾付近
22,5,121,30,台湾付近
22,5,121,44,台湾付近
22,5,121,48,台湾付近
22,5,123,45,石垣島南方沖
22,5,144,2,硫黄島近海
22,6,121,16,台湾付近
22,6,121,36,台湾付近
22,6,121,46,台湾付近
22,7,120,19,台湾付近
22,7,121,11,台湾付近
22,7,121,19,台湾付近
22,7,121,34,台湾付近
22,7,121,38,台湾付近
22,7,121,39,台湾付近
22,8,120,23,台湾付近
22,8,121,28,台湾付近
22,8,121,35,台湾付近
22,8,121,43,台湾付近
22,8,121,54,台湾付近
22,9,119,49,遠地
22,10,120,11,台湾付近
22,10,120,46,台湾付近
22,10,121,1,台湾付近
22,10,143,10,硫黄島近海
22,11,121,7,台湾付近
22,11,121,10,台湾付近
22,11,121,36,台湾付近
22,11,121,52,台湾付近
22,11,124,58,石垣島南方沖
22,11,125,57,石垣島南方沖
22,12,120,24,台湾付近
22,12,120,44,台湾付近
22,12,121,4,台湾付近
22,12,121,50,台湾付近
22,13,121,6,台湾付近
22,13,121,35,台湾付近
22,13,143,20,硫黄島近海
22,14,119,47,遠地
22,14,120,56,台湾付近
22,14,121,28,台湾付近
22,14,121,31,台湾付近
22,14,121,32,台湾付近
22,14,121,41,台湾付近
22,14,143,6,硫黄島近海
22,15,121,37,台湾付近
22,15,121,50,台湾付近
22,16,120,5,台湾付近
22,16,121,4,台湾付近
22,16,121,18,台湾付近
22,16,121,32,台湾付近
22,16,122,4,台湾付近
22,17,120,5,台湾付近
22,17,121,3,台湾付近
22,17,121,34,台湾付近
22,17,121,41,台湾付近
22,17,121,52,台湾付近
22,18,121,23,台湾付近
22,18,121,28,台湾付近
22,18,143,14,硫黄島近海
22,18,144,30,硫黄島近海
22,19,121,12,台湾付近
22,19,121,14,台湾付近
22,19,121,35,台湾付近
22,19,122,24,石垣島南方沖
22,20,121,8,台湾付近
22,20,121,33,台湾付近
22,20,122,25,石垣島南方沖
22,20,122,40,石垣島南方沖
22,20,123,41,石垣島南方沖
22,21,120,17,台湾付近
22,21,120,47,台湾付近
22,21,121,18,台湾付近
22,21,121,24,台湾付近
22,21,121,45,台湾付近
22,21,122,5,台湾付近
22,22,121,10,台湾付近
22,22,121,12,台湾付近
22,22,121,20,台湾付近
22,22,121,23,台湾付近
22,22,121,36,台湾付近
22,22,122,21,台湾付近
22,22,123,38,石垣島南方沖
22,23,120,46,台湾付近
22,23,121,8,台湾付近
22,23,121,35,台湾付近
22,23,121,36,台湾付近
22,23,124,53,石垣島南方沖
22,24,121,22,台湾付近
22,24,121,38,台湾付近
22,24,123,36,石垣島南方沖
22,25,121,17,台湾付近
22,25,121,33,台湾付近
22,26,121,26,台湾付近
22,26,121,36,台湾付近
22,26,121,38,台湾付近
22,26,123,58,石垣島南方沖
22,26,143,51,硫黄島近海
22,27,121,16,台湾付近
22,27,121,25,台湾付近
22,27,145,40,硫黄島近海
22,28,120,28,台湾付近
22,28,120,56,台湾付近
22,28,120,57,台湾付近
22,28,121,15,台湾付近
22,28,121,24,台湾付近
22,28,122,3,台湾付近
22,28,143,0,硫黄島近海
22,28,144,47,硫黄島近海
22,29,120,55,台湾付近
22,29,121,14,台湾付近
22,29,121,30,台湾付近
22,29,121,32,台湾付近
22,29,121,48,台湾付近
22,29,121,55,台湾付近
22,29,122,38,石垣島南方沖
22,29,123,51,石垣島南方沖
22,29,143,40,硫黄島近海
22,29,144,7,硫黄島近海
22,30,120,45,台湾付近
22,30,121,8,台湾付近
22,30,121,16,台湾付近
22,30,121,33,台湾付近
22,30,121,37,台湾付近
22,30,121,40,台湾付近
22,30,122,5,台湾付近
22,30,122,57,石垣島南方沖
22,31,121,13,台湾付近
22,31,121,18,台湾付近
22,31,121,23,台湾付近
22,31,121,33,台湾付近
22,31,121,42,台湾付近
22,31,143,15,硫黄島近海
22,32,121,21,台湾付近
22,32,121,27,台湾付近
22,32,121,29,台湾付近
22,32,122,3,台湾付近
22,32,122,56,石垣島南方沖
22,33,120,52,台湾付近
22,33,120,55,台湾付近
22,33,121,13,台湾付近
22,33,121,23,台湾付近
22,33,122,53,石垣島南方沖
22,33,122,57,石垣島南方沖
22,34,120,46,台湾付近
22,34,121,0,台湾付近
22,34,121,10,台湾付近
22,34,121,11,台湾付近
22,34,121,32,台湾付近
22,34,121,33,台湾付近
22,34,121,36,台湾付近
22,34,121,45,台湾付近
22,34,121,57,台湾付近
22,34,144,27,硫黄島近海
22,35,120,26,台湾付近
22,35,120,37,台湾付近
22,35,120,55,台湾付近
22,35,120,59,台湾付近
22,35,121,15,台湾付近
22,35,121,28,台湾付近
22,35,121,30,台湾付近
22,35,121,41,台湾付近
22,36,121,6,台湾付近
22,36,121,15,台湾付近
22,36,121,16,台湾付近
22,36,121,29,台湾付近
22,36,122,3,台湾付近
22,36,123,14,石垣島南方沖
22,36,143,7,硫黄島近海
22,37,120,24,台湾付近
22,37,120,39,台湾付近
22,37,121,15,台湾付近
22,37,121,24,台湾付近
22,37,121,25,台湾付近
22,37,121,29,台湾付近
22,37,121,41,台湾付近
22,37,121,48,台湾付近
22,37,121,56,台湾付近
22,37,123,31,石垣島南方沖
22,37,142,46,硫黄島近海
22,37,143,56,硫黄島近海
22,38,121,15,台湾付近
22,38,121,16,台湾付近
22,38,121,23,台湾付近
22,38,121,31,台湾付近
22,38,121,32,台湾付近
22,38,122,3,台湾付近
22,38,123,55,石垣島南方沖
22,38,142,56,硫黄島近海
22,38,143,38,硫黄島近海
22,39,120,59,台湾付近
22,39,121,7,台湾付近
22,39,121,19,台湾付近
22,39,121,20,台湾付近
22,39,121,22,台湾付近
22,39,121,28,台湾付近
22,39,121,46,台湾付近
22,39,122,52,石垣島南方沖
22,40,120,41,台湾付近
22,40,121,13,台湾付近
22,40,121,20,台湾付近
22,40,121,31,台湾付近
22,40,123,40,石垣島南方沖
22,40,125,44,石垣島南方沖
22,40,142,49,硫黄島近海
22,41,120,43,台湾付近
22,41,121,11,台湾付近
22,41,121,26,台湾付近
22,41,121,28,台湾付近
22,41,121,51,台湾付近
22,41,123,26,石垣島南方沖
22,41,143,58,硫黄島近海
22,42,120,19,台湾付近
22,42,121,24,台湾付近
22,42,121,33,台湾付近
22,42,122,40,石垣島南方沖
22,42,122,51,石垣島南方沖
22,42,122,55,石垣島南方沖
22,42,123,26,石垣島南方沖
22,42,143,39,硫黄島近海
22,43,121,12,台湾付近
22,43,121,14,台湾付近
22,43,121,15,台湾付近
22,43,121,45,台湾付近
22,43,122,30,石垣島南方沖
22,43,122,43,石垣島南方沖
22,43,122,50,石垣島南方沖
22,43,143,4,硫黄島近海
22,44,120,23,台湾付近
22,44,121,0,台湾付近
22,44,121,14,台湾付近
22,44,121,22,台湾付近
22,44,121,23,台湾付近
22,44,121,30,台湾付近
22,44,121,33,台湾付近
22,44,121,34,台湾付近
22,44,122,31,石垣島南方沖
22,44,123,31,石垣島南方沖
22,44,123,49,石垣島南方沖
22,44,142,58,硫黄島近海
22,44,144,19,硫黄島近海
22,45,121,25,台湾付近
22,45,121,29,台湾付近
22,45,121,31,台湾付近
22,45,123,16,石垣島南方沖
22,45,123,25,石垣島南方沖
22,45,124,6,石垣島南方沖
22,45,143,19,硫黄島近海
22,46,121,7,台湾付近
22,46,121,16,台湾付近
22,46,121,23,台湾付近
22,46,121,27,台湾付近
22,46,121,28,台湾付近
22,46,121,30,台湾付近
22,46,123,12,石垣島南方沖
22,46,123,35,石垣島南方沖
22,47,120,42,台湾付近
22,47,121,5,台湾付近
22,47,121,6,台湾付近
22,47,121,12,台湾付近
22,47,121,14,台湾付近
22,47,121,21,台湾付近
22,47,121,56,台湾付近
22,47,122,55,石垣島南方沖
22,47,123,22,石垣島南方沖
22,47,123,23,石垣島南方沖
22,47,124,8,石垣島南方沖
22,48,120,32,台湾付近
22,48,121,9,台湾付近
22,48,121,14,台湾付近
22,48,121,17,台湾付近
22,48,121,27,台湾付近
22,48,121,31,台湾付近
22,48,122,1,台湾付近
22,48,122,21,台湾付近
22,48,122,25,石垣島南方沖
22,48,123,18,石垣島南方沖
22,48,123,57,石垣島南方沖
22,48,124,50,石垣島南方沖
22,49,121,0,台湾付近
22,49,121,2,台湾付近
22,49,121,16,台湾付近
22,49,121,17,台湾付近
22,49,121,29,台湾付近
22,49,121,30,台湾付近
22,49,122,49,石垣島南方沖
22,49,123,9,石垣島南方沖
22,49,123,32,石垣島南方沖
22,50,120,32,台湾付近
22,50,120,33,台湾付近
22,50,121,13,台湾付近
22,50,121,14,台湾付近
22,50,121,15,台湾付近
22,50,121,17,台湾付近
22,50,121,19,台湾付近
22,50,121,21,台湾付近
22,50,121,26,台湾付近
22,50,121,27,台湾付近
22,50,122,32,石垣島南方沖
22,50,123,0,石垣島南方沖
22,50,124,13,石垣島南方沖
22,51,120,42,台湾付近
22,51,121,2,台湾付近
22,51,121,3,台湾付近
22,51,121,12,台湾付近
22,51,121,14,台湾付近
22,51,121,15,台湾付近
22,51,121,17,台湾付近
22,51,121,25,台湾付近
22,51,121,26,台湾付近
22,51,122,34,石垣島南方沖
22,51,123,19,石垣島南方沖
22,51,123,28,石垣島南方沖
22,51,123,48,石垣島南方沖
22,51,124,14,石垣島南方沖
22,52,120,29,台湾付近
22,52,120,35,台湾付近
22,52,120,37,台湾付近
22,52,121,12,台湾付近
22,52,121,13,台湾付近
22,52,121,16,台湾付近
22,52,121,17,台湾付近
22,52,121,20,台湾付近
22,52,121,22,台湾付近
22,52,121,35,台湾付近
22,52,121,38,台湾付近
22,52,122,31,石垣島南方沖
22,52,122,52,石垣島南方沖
22,52,123,27,石垣島南方沖
22,52,124,49,石垣島南方沖
22,53,120,34,台湾付近
22,53,120,35,台湾付近
22,53,121,12,台湾付近
22,53,121,15,台湾付近
22,53,121,19,台湾付近
22,53,121,39,台湾付近
22,53,121,40,台湾付近
22,53,123,7,石垣島南方沖
22,53,123,10,石垣島南方沖
22,53,123,14,石垣島南方沖
22,53,124,17,石垣島南方沖
22,53,125,6,石垣島南方沖
22,54,120,29,台湾付近
22,54,120,33,台湾付近
22,54,121,10,台湾付近
22,54,121,16,台湾付近
22,54,121,17,台湾付近
22,54,121,18,台湾付近
22,54,121,19,台湾付近
22,54,121,22,台湾付近
22,54,121,25,台湾付近
22,54,123,4,与那国島近海
22,54,123,7,与那国島近海
22,54,123,56,石垣島近海
22,54,124,14,石垣島近海
22,54,124,54,石垣島近海
22,55,120,31,台湾付近
22,55,120,36,台湾付近
22,55,121,10,台湾付近
22,55,121,19,台湾付近
22,55,121,26,台湾付近
22,55,121,34,台湾付近
22,55,121,37,台湾付近
22,55,123,19,与那国島近海
22,55,124,48,石垣島近海
22,55,125,40,石垣島南方沖
22,56,120,27,台湾付近
22,56,121,11,台湾付近
22,56,121,17,台湾付近
22,56,121,19,台湾付近
22,56,121,33,台湾付近
22,56,122,30,与那国島近海
22,56,122,45,与那国島近海
22,56,123,5,与那国島近海
22,56,123,18,与那国島近海
22,56,123,44,石垣島近海
22,56,123,50,石垣島近海
22,56,124,46,石垣島近海
22,57,121,6,台湾付近
22,57,121,18,台湾付近
22,57,121,19,台湾付近
22,57,121,20,台湾付近
22,57,121,22,台湾付近
22,57,121,26,台湾付近
22,57,121,41,台湾付近
22,57,123,4,与那国島近海
22,57,123,22,与那国島近海
22,57,124,10,石垣島近海
22,57,144,12,硫黄島近海
22,58,121,17,台湾付近
22,58,121,21,台湾付近
22,58,121,22,台湾付近
22,58,121,24,台湾付近
22,58,121,26,台湾付近
22,58,121,27,台湾付近
22,58,122,45,与那国島近海
22,58,124,1,石垣島近海
22,58,124,19,石垣島近海
22,58,124,20,石垣島近海
22,58,145,41,硫黄島近海
22,59,120,44,台湾付近
22,59,121,3,台湾付近
22,59,121,12,台湾付近
22,59,121,19,台湾付近
22,59,121,20,台湾付近
22,59,121,32,台湾付近
22,59,121,34,台湾付近
22,59,121,36,台湾付近
22,59,122,44,与那国島近海
22,59,122,54,与那国島近海
22,59,124,22,石垣島近海
23,0,121,16,台湾付近
23,0,121,22,台湾付近
23,0,121,23,台湾付近
23,0,121,24,台湾付近
23,0,121,25,台湾付近
23,0,121,29,台湾付近
23,0,122,32,与那国島近海
23,0,122,43,与那国島近海
23,0,122,59,与那国島近海
23,0,123,16,与那国島近海
23,0,123,18,与那国島近海
23,0,123,26,石垣島近海
23,0,124,9,石垣島近海
23,0,124,17,石垣島近海
23,0,124,19,石垣島近海
23,0,124,29,石垣島近海
23,0,143,20,硫黄島近海
23,1,120,17,台湾付近
23,1,121,20,台湾付近
23,1,121,21,台湾付近
23,1,121,22,台湾付近
23,1,121,23,台湾付近
23,1,121,44,台湾付近
23,1,121,58,台湾付近
23,1,123,0,与那国島近海
23,1,124,38,石垣島近海
23,1,143,17,硫黄島近海
23,2,121,18,台湾付近
23,2,121,20,台湾付近
23,2,121,21,台湾付近
23,2,121,22,台湾付近
23,2,121,23,台湾付近
23,2,122,56,与那国島近海
23,2,123,2,与那国島近海
23,2,124,14,石垣島近海
23,2,124,17,石垣島近海
23,3,120,46,台湾付近
23,3,121,16,台湾付近
23,3,121,19,台湾付近
23,3,121,20,台湾付近
23,3,121,21,台湾付近
23,3,121,25,台湾付近
23,3,121,28,台湾付近
23,3,121,33,台湾付近
23,3,121,36,台湾付近
23,3,123,12,与那国島近海
23,3,123,14,与那国島近海
23,3,124,31,石垣島近海
23,3,124,35,石垣島近海
23,3,124,38,石垣島近海
23,3,124,54,石垣島近海
23,3,143,1,硫黄島近海
23,4,121,19,台湾付近
23,4,121,21,台湾付近
23,4,121,22,台湾付近
23,4,121,24,台湾付近
23,4,121,26,台湾付近
23,4,121,27,台湾付近
23,4,121,39,台湾付近
23,4,121,46,台湾付近
23,4,123,6,与那国島近海
23,4,123,12,与那国島近海
23,4,124,50,石垣島近海
23,4,124,55,石垣島近海
23,5,121,14,台湾付近
23,5,121,17,台湾付近
23,5,121,18,台湾付近
23,5,121,21,台湾付近
23,5,121,22,台湾付近
23,5,121,23,台湾付近
23,5,121,24,台湾付近
23,5,121,33,台湾付近
23,5,121,38,台湾付近
23,5,122,43,与那国島近海
23,5,123,1,与那国島近海
23,5,123,11,与那国島近海
23,5,123,13,与那国島近海
23,5,123,15,与那国島近海
23,5,123,20,与那国島近海
23,5,124,29,石垣島近海
23,5,124,34,石垣島近海
23,5,124,51,石垣島近海
23,5,143,42,硫黄島近海
23,6,120,33,台湾付近
23,6,121,13,台湾付近
23,6,121,15,台湾付近
23,6,121,16,台湾付近
23,6,121,17,台湾付近
23,6,121,18,台湾付近
23,6,121,19,台湾付近
23,6,121,20,台湾付近
23,6,121,21,台湾付近
23,6,121,22,台湾付近
23,6,121,23,台湾付近
23,6,121,26,台湾付近
23,6,121,27,台湾付近
23,6,121,29,台湾付近
23,6,121,30,台湾付近
23,6,123,11,与那国島近海
23,6,123,22,与那国島近海
23,6,123,29,石垣島近海
23,6,123,56,石垣島近海
23,6,124,25,石垣島近海
23,6,124,28,石垣島近海
23,6,124,45,石垣島近海
23,6,125,0,石垣島近海
23,6,125,7,石垣島近海
23,7,120,21,台湾付近
23,7,120,28,台湾付近
23,7,120,32,台湾付近
23,7,120,51,台湾付近
23,7,121,9,台湾付近
23,7,121,16,台湾付近
23,7,121,17,台湾付近
23,7,121,18,台湾付近
23,7,121,19,台湾付近
23,7,121,22,台湾付近
23,7,121,26,台湾付近
23,7,121,27,台湾付近
23,7,121,32,台湾付近
23,7,121,33,台湾付近
23,7,121,34,台湾付近
23,7,122,4,台湾付近
23,7,123,12,与那国島近海
23,7,123,16,与那国島近海
23,7,123,22,与那国島近海
23,8,120,39,台湾付近
23,8,120,50,台湾付近
23,8,120,58,台湾付近
23,8,121,18,台湾付近
23,8,121,21,台湾付近
23,8,121,22,台湾付近
23,8,121,23,台湾付近
23,8,121,24,台湾付近
23,8,121,26,台湾付近
23,8,122,7,台湾付近
23,8,122,35,与那国島近海
23,8,122,46,与那国島近海
23,8,122,58,与那国島近海
23,8,123,19,与那国島近海
23,8,123,20,与那国島近海
23,8,123,21,与那国島近海
23,8,124,26,石垣島近海
23,8,124,27,石垣島近海
23,8,124,28,石垣島近海
23,8,124,30,石垣島近海
23,8,124,57,石垣島近海
23,8,125,3,石垣島近海
23,8,125,5,石垣島近海
23,8,125,20,石垣島近海
23,8,125,34,石垣島近海
23,9,120,16,台湾付近
23,9,120,44,台湾付近
23,9,120,58,台湾付近
23,9,120,59,台湾付近
23,9,121,0,台湾付近
23,9,121,14,台湾付近
23,9,121,16,台湾付近
23,9,121,20,台湾付近
23,9,121,24,台湾付近
23,9,121,27,台湾付近
23,9,121,28,台湾付近
23,9,121,29,台湾付近
23,9,121,30,台湾付近
23,9,121,31,台湾付近
23,9,121,33,台湾付近
23,9,121,36,台湾付近
23,9,121,37,台湾付近
23,9,121,42,台湾付近
23,9,123,15,与那国島近海
23,9,123,16,与那国島近海
23,9,124,23,石垣島近海
23,9,124,26,石垣島近海
23,9,124,27,石垣島近海
23,9,124,28,石垣島近海
23,9,124,30,石垣島近海
23,9,124,35,石垣島近海
23,9,124,37,石垣島近海
23,9,124,44,石垣島近海
23,9,124,47,石垣島近海
23,9,124,51,石垣島近海
23,9,142,59,硫黄島近海
23,10,120,29,台湾付近
23,10,120,53,台湾付近
23,10,120,55,台湾付近
23,10,120,56,台湾付近
23,10,121,3,台湾付近
23,10,121,17,台湾付近
23,10,121,20,台湾付近
23,10,121,24,台湾付近
23,10,121,29,台湾付近
23,10,121,30,台湾付近
23,10,121,31,台湾付近
23,10,121,33,台湾付近
23,10,121,34,台湾付近
23,10,121,36,台湾付近
23,10,121,38,台湾付近
23,10,123,15,与那国島近海
23,10,123,53,石垣島近海
23,10,124,25,石垣島近海
23,10,124,26,石垣島近海
23,10,124,27,石垣島近海
23,10,124,28,石垣島近海
23,10,124,29,石垣島近海
23,10,124,31,石垣島近海
23,10,124,32,石垣島近海
23,10,124,39,石垣島近海
23,10,125,7,石垣島近海
23,10,125,24,石垣島近海
23,10,125,31,石垣島近海
23,10,125,37,石垣島近海
23,11,120,27,台湾付近
23,11,120,38,台湾付近
23,11,120,42,台湾付近
23,11,120,43,台湾付近
23,11,120,52,台湾付近
23,11,120,55,台湾付近
23,11,121,21,台湾付近
23,11,121,22,台湾付近
23,11,121,23,台湾付近
23,11,121,25,台湾付近
23,11,121,26,台湾付近
23,11,121,27,台湾付近
23,11,121,28,台湾付近
23,11,121,29,台湾付近
23,11,121,32,台湾付近
23,11,121,33,台湾付近
23,11,121,34,台湾付近
23,11,121,35,台湾付近
23,11,121,37,台湾付近
23,11,124,8,石垣島近海
23,11,124,15,石垣島近海
23,11,124,24,石垣島近海
23,11,124,25,石垣島近海
23,11,124,27,石垣島近海
23,11,124,30,石垣島近海
23,11,124,38,石垣島近海
23,11,124,41,石垣島近海
23,11,124,50,石垣島近海
23,11,124,58,石垣島近海
23,11,124,59,石垣島近海
23,11,125,3,石垣島近海
23,11,125,14,石垣島近海
23,11,125,15,石垣島近海
23,11,125,45,宮古島近海
23,11,142,21,硫黄島近海
23,12,120,32,台湾付近
23,12,120,47,台湾付近
23,12,120,50,台湾付近
23,12,121,25,台湾付近
23,12,121,26,台湾付近
23,12,121,28,台湾付近
23,12,121,29,台湾付近
23,12,121,30,台湾付近
23,12,121,32,台湾付近
23,12,121,34,台湾付近
23,12,121,35,台湾付近
23,12,121,42,台湾付近
23,12,123,8,与那国島近海
23,12,123,12,与那国島近海
23,12,124,29,石垣島近海
23,12,124,31,石垣島近海
23,12,124,34,石垣島近海
23,12,124,38,石垣島近海
23,12,124,42,石垣島近海
23,12,124,44,石垣島近海
23,12,124,47,石垣島近海
23,12,124,52,石垣島近海
23,12,125,0,石垣島近海
23,12,142,12,硫黄島近海
23,13,120,35,台湾付近
23,13,120,48,台湾付近
23,13,121,5,台湾付近
23,13,121,17,台湾付近
23,13,121,21,台湾付近
23,13,121,22,台湾付近
23,13,121,23,台湾付近
23,13,121,24,台湾付近
23,13,121,27,台湾付近
23,13,121,28,台湾付近
23,13,121,29,台湾付近
23,13,121,31,台湾付近
23,13,121,32,台湾付近
23,13,121,33,台湾付近
23,13,121,36,台湾付近
23,13,123,53,石垣島近海
23,13,124,39,石垣島近海
23,13,124,40,石垣島近海
